,item_1,item_2,item_3
512,mineral water,french wine,gluten free bar
513,burgers,ground beef,spaghetti
514,soup,meatballs,milk
517,turkey,red wine,mineral water
518,burgers,ham,frozen vegetables
519,grated cheese,mineral water,olive oil
520,milk,cake,green tea
521,mineral water,almonds,cooking oil
522,turkey,fresh tuna,mineral water
523,herb & pepper,mineral water,whole wheat rice
524,tomatoes,spaghetti,meatballs
525,burgers,mineral water,eggs
527,chocolate,herb & pepper,yogurt cake
528,ground beef,spaghetti,mineral water
529,mineral water,vegetables mix,eggs
533,milk,bug spray,oatmeal
534,frozen vegetables,soup,almonds
536,soup,butter,shampoo
537,herb & pepper,whole wheat pasta,pepper
538,mineral water,whole wheat rice,rice
539,grated cheese,butter,chocolate
540,spaghetti,soup,milk
541,eggs,french fries,frozen smoothie
542,turkey,tomatoes,mineral water
543,milk,tomato juice,low fat yogurt
544,mineral water,soup,almonds
546,turkey,herb & pepper,chocolate
547,eggs,french fries,green tea
548,mineral water,cake,chocolate
550,chocolate,pepper,spaghetti
551,frozen vegetables,pepper,mineral water
552,burgers,turkey,spaghetti
553,burgers,spaghetti,mineral water
554,butter,green grapes,frozen smoothie
565,shrimp,soup,milk
568,pancakes,eggs,cake
569,herb & pepper,tomatoes,ground beef
570,cider,eggs,chocolate
571,frozen vegetables,cider,eggs
572,yams,cookies,toothpaste
573,mineral water,milk,escalope
574,ham,herb & pepper,spaghetti
575,pepper,mineral water,escalope
576,turkey,parmesan cheese,spaghetti
577,herb & pepper,eggs,escalope
579,burgers,escalope,shallot
580,chocolate,pepper,tomato sauce
582,burgers,ground beef,spaghetti
583,frozen vegetables,mineral water,soup
584,turkey,eggs,french fries
585,burgers,frozen vegetables,gums
586,herb & pepper,frozen vegetables,ground beef
587,frozen vegetables,cake,light cream
589,turkey,eggs,barbecue sauce
593,soup,escalope,mint
594,muffins,chicken,zucchini
595,burgers,eggs,french fries
597,avocado,energy bar,chocolate
600,whole wheat pasta,spaghetti,mineral water
601,grated cheese,frozen vegetables,eggs
602,grated cheese,herb & pepper,mineral water
603,chocolate,spaghetti,yams
605,eggs,french fries,energy drink
607,grated cheese,ground beef,mineral water
609,parmesan cheese,spaghetti,soda
610,turkey,shrimp,olive oil
611,pickles,ground beef,yams
612,pepper,spaghetti,light cream
613,frozen vegetables,mineral water,eggs
614,spaghetti,chicken,tea
615,fresh tuna,turkey,herb & pepper
616,spaghetti,mineral water,cooking oil
618,burgers,herb & pepper,spaghetti
619,cookies,shallot,strawberries
620,fresh tuna,chocolate,shrimp
621,yams,mineral water,avocado
622,ham,eggs,french fries
625,chocolate,butter,eggs
626,eggs,mushroom cream sauce,low fat yogurt
628,ground beef,spaghetti,french fries
630,turkey,red wine,mineral water
631,chocolate,parmesan cheese,mineral water
633,shrimp,frozen vegetables,parmesan cheese
634,ground beef,mineral water,milk
637,ground beef,mineral water,chocolate
638,whole wheat pasta,spaghetti,olive oil
640,frozen vegetables,mineral water,eggs
641,turkey,grated cheese,energy bar
642,turkey,burgers,nonfat milk
645,herb & pepper,mineral water,salmon
646,mineral water,cake,chocolate
647,grated cheese,mineral water,chocolate
650,grated cheese,parmesan cheese,butter
653,ground beef,avocado,milk
654,frozen vegetables,soup,eggs
655,herb & pepper,ground beef,spaghetti
656,shrimp,parmesan cheese,mineral water
657,ham,herb & pepper,frozen vegetables
658,chicken,cider,eggs
659,shrimp,tomato sauce,mineral water
661,ham,spaghetti,mineral water
662,shrimp,frozen vegetables,tomatoes
663,turkey,herb & pepper,frozen vegetables
665,turkey,ground beef,spaghetti
666,shrimp,pepper,mineral water
672,whole wheat pasta,mineral water,olive oil
673,yams,mineral water,eggs
675,shrimp,spaghetti,yams
676,mineral water,milk,salmon
679,spaghetti,mineral water,soup
680,frozen vegetables,whole wheat pasta,ground beef
682,burgers,grated cheese,spaghetti
683,ham,ground beef,olive oil
684,whole wheat pasta,mineral water,olive oil
687,herb & pepper,ground beef,escalope
688,herb & pepper,frozen vegetables,ground beef
691,turkey,burgers,herb & pepper
692,whole wheat pasta,salmon,antioxydant juice
693,chocolate,french fries,strawberries
694,burgers,chocolate,shrimp
695,mineral water,butter,pancakes
697,turkey,shrimp,frozen vegetables
698,burgers,eggs,yogurt cake
699,burgers,fresh tuna,shrimp
700,herb & pepper,ground beef,mineral water
704,milk,energy bar,green tea
707,soup,meatballs,milk
708,herb & pepper,pet food,cookies
709,grated cheese,whole wheat pasta,olive oil
711,parmesan cheese,mineral water,fromage blanc
713,ground beef,pepper,milk
714,chocolate,red wine,butter
715,chocolate,spaghetti,bug spray
717,spaghetti,mineral water,vegetables mix
718,chocolate,grated cheese,mineral water
721,mineral water,body spray,low fat yogurt
722,herb & pepper,red wine,whole wheat pasta
723,burgers,parmesan cheese,eggs
724,mineral water,eggs,pancakes
726,shrimp,frozen vegetables,tomatoes
727,mineral water,almonds,pancakes
728,cake,french fries,escalope
729,frozen vegetables,spaghetti,mineral water
730,almonds,cake,low fat yogurt
733,mineral water,soup,chicken
735,french fries,cookies,green tea
736,soup,blueberries,cooking oil
737,chocolate,french fries,frozen smoothie
739,frozen vegetables,ground beef,salmon
740,fresh tuna,herb & pepper,parmesan cheese
741,grated cheese,shrimp,butter
742,energy bar,eggs,french fries
743,burgers,eggs,french fries
744,burgers,shrimp,mineral water
745,ground beef,mineral water,chocolate
747,turkey,ground beef,spaghetti
751,whole wheat pasta,mineral water,olive oil
753,turkey,grated cheese,honey
754,turkey,red wine,mineral water
759,herb & pepper,parmesan cheese,whole wheat pasta
762,shrimp,fresh bread,green tea
763,pepper,tomato sauce,escalope
764,mineral water,cake,protein bar
767,spaghetti,mineral water,honey
768,mineral water,eggs,green tea
769,grated cheese,frozen vegetables,parmesan cheese
770,frozen vegetables,parmesan cheese,whole wheat pasta
771,chocolate,grated cheese,shrimp
773,burgers,chocolate,mushroom cream sauce
774,mineral water,olive oil,extra dark chocolate
778,soup,olive oil,pancakes
779,mineral water,vegetables mix,low fat yogurt
780,pepper,mineral water,avocado
781,pickles,burgers,almonds
782,bug spray,clothes accessories,cottage cheese
783,frozen vegetables,ground beef,spaghetti
784,spaghetti,mineral water,milk
787,frozen vegetables,oil,cereals
788,turkey,shrimp,mineral water
789,chocolate,rice,eggplant
790,spaghetti,meatballs,nonfat milk
791,frozen vegetables,cake,cookies
792,butter,bug spray,french fries
794,soup,milk,cider
795,shrimp,spaghetti,mineral water
796,milk,whole wheat rice,escalope
797,escalope,pasta,mushroom cream sauce
799,grated cheese,spaghetti,french fries
800,burgers,shrimp,whole wheat pasta
801,turkey,chocolate,grated cheese
802,turkey,pepper,chocolate
803,tomatoes,ground beef,avocado
804,turkey,mineral water,green tea
806,pancakes,tomato juice,candy bars
807,yams,avocado,bacon
808,shrimp,spaghetti,mineral water
809,chicken,cooking oil,tea
810,burgers,soup,vegetables mix
812,spaghetti,olive oil,blueberries
814,grated cheese,herb & pepper,muffins
815,grated cheese,frozen vegetables,spaghetti
816,pepper,pancakes,french fries
817,frozen vegetables,tomatoes,parmesan cheese
818,olive oil,chicken,chocolate
819,whole wheat pasta,ground beef,spaghetti
822,green tea,frozen smoothie,white wine
823,mineral water,chocolate,rice
825,shrimp,whole wheat pasta,meatballs
826,herb & pepper,parmesan cheese,ground beef
827,grated cheese,shrimp,parmesan cheese
831,burgers,ground beef,pancakes
832,parmesan cheese,soda,french fries
834,ground beef,spaghetti,chicken
837,herb & pepper,chocolate,champagne
838,grated cheese,mineral water,eggs
839,cookies,yogurt cake,light mayo
841,milk,olive oil,light cream
842,tomatoes,soup,avocado
843,ham,chocolate,ground beef
844,green tea,champagne,escalope
847,burgers,mineral water,olive oil
849,grated cheese,tomato sauce,spaghetti
850,turkey,spaghetti,strong cheese
852,ground beef,spaghetti,cider
853,burgers,frozen vegetables,parmesan cheese
856,frozen vegetables,mineral water,honey
857,parmesan cheese,milk,butter
859,turkey,mineral water,milk
860,avocado,chocolate,french fries
862,chocolate,eggs,bug spray
863,grated cheese,muffins,french fries
864,mineral water,eggs,blueberries
866,nonfat milk,cookies,mushroom cream sauce
870,turkey,tomatoes,ground beef
871,parmesan cheese,spaghetti,mineral water
872,burgers,parmesan cheese,chocolate
873,shrimp,honey,pasta
874,fresh tuna,chocolate,milk
877,herb & pepper,frozen vegetables,tomatoes
878,spaghetti,mineral water,milk
879,turkey,burgers,fresh tuna
881,burgers,spaghetti,mineral water
882,chocolate,french fries,frozen smoothie
885,chocolate,french fries,strawberries
886,turkey,frozen vegetables,avocado
887,olive oil,energy bar,shallot
889,chocolate,spaghetti,champagne
890,shrimp,mineral water,chocolate
891,muffins,green tea,brownies
893,turkey,tomato sauce,milk
895,butter,burger sauce,brownies
896,butter,pancakes,whole wheat rice
897,shrimp,chocolate,butter
898,burgers,red wine,frozen vegetables
899,turkey,ground beef,spaghetti
900,shrimp,milk,butter
901,fresh tuna,mineral water,fromage blanc
904,frozen vegetables,tomatoes,spaghetti
905,turkey,burgers,butter
906,red wine,shrimp,yams
908,burgers,ground beef,eggs
913,mineral water,french fries,champagne
914,cereals,salt,green tea
915,shrimp,spaghetti,chocolate
916,ham,spaghetti,yams
918,ground beef,olive oil,bug spray
919,frozen vegetables,spaghetti,mineral water
920,whole wheat rice,oil,chicken
922,parmesan cheese,whole wheat rice,escalope
923,fresh tuna,frozen vegetables,chicken
925,muffins,champagne,cookies
926,frozen vegetables,spaghetti,chocolate
927,pickles,spaghetti,french fries
930,spaghetti,milk,oil
934,avocado,milk,butter
935,turkey,frozen vegetables,chicken
936,burgers,shrimp,tomatoes
937,burgers,milk,cake
938,tomatoes,spaghetti,chocolate
939,fresh tuna,red wine,pepper
941,shrimp,parmesan cheese,soup
943,grated cheese,vegetables mix,nonfat milk
944,fresh tuna,parmesan cheese,cider
946,shrimp,chocolate,mushroom cream sauce
949,shrimp,frozen vegetables,tomatoes
952,ground beef,almonds,french fries
954,turkey,mineral water,butter
955,frozen vegetables,spaghetti,french fries
956,burgers,ham,spaghetti
957,grated cheese,frozen vegetables,spaghetti
958,burgers,shrimp,tomatoes
960,parmesan cheese,cake,hot dogs
961,spaghetti,milk,fromage blanc
964,butter,french fries,salt
965,chocolate,french fries,strawberries
966,eggs,eggplant,cookies
968,herb & pepper,spaghetti,meatballs
969,frozen vegetables,rice,chocolate
970,herb & pepper,ground beef,spaghetti
972,whole wheat pasta,ground beef,olive oil
973,burgers,red wine,mineral water
974,chocolate,grated cheese,herb & pepper
975,burgers,shrimp,mineral water
979,milk,butter,eggs
980,eggs,mushroom cream sauce,low fat yogurt
983,shrimp,frozen vegetables,parmesan cheese
985,frozen vegetables,spaghetti,olive oil
987,fresh tuna,eggs,escalope
988,spaghetti,soup,milk
989,burgers,mineral water,soup
990,grated cheese,mineral water,cooking oil
991,shrimp,milk,olive oil
992,frozen vegetables,mineral water,pancakes
993,spaghetti,milk,chicken
994,grated cheese,mineral water,chicken
995,ground beef,mineral water,milk
996,shrimp,body spray,green tea
998,herb & pepper,frozen vegetables,mineral water
999,turkey,tomatoes,spaghetti
1000,herb & pepper,red wine,spaghetti
1002,grated cheese,ground beef,spaghetti
1003,flax seed,chocolate,champagne
1004,chocolate,escalope,mushroom cream sauce
1005,burgers,ham,chocolate
1007,chocolate,grated cheese,parmesan cheese
1008,pickles,spaghetti,mineral water
1009,ground beef,mineral water,milk
1010,pancakes,melons,green tea
1011,pancakes,energy drink,melons
1014,spaghetti,eggs,chocolate
1016,burgers,ham,grated cheese
1017,burgers,bacon,eggs
1018,frozen vegetables,almonds,pancakes
1019,turkey,herb & pepper,frozen vegetables
1021,turkey,burgers,yams
1022,turkey,spaghetti,soda
1023,chocolate,frozen vegetables,tomatoes
1024,frozen vegetables,tomatoes,spaghetti
1026,shrimp,parmesan cheese,eggs
1027,chocolate,whole wheat pasta,bacon
1031,burgers,frozen vegetables,mineral water
1032,spinach,chocolate,french fries
1033,frozen vegetables,avocado,whole weat flour
1037,shrimp,frozen vegetables,mineral water
1041,burgers,spaghetti,mineral water
1042,grated cheese,ground beef,mineral water
1044,turkey,burgers,frozen vegetables
1045,oil,shampoo,low fat yogurt
1046,chocolate,red wine,spaghetti
1047,herb & pepper,pancakes,eggs
1048,avocado,butter,chocolate
1049,grated cheese,shrimp,spaghetti
1050,soup,olive oil,light cream
1053,olive oil,energy bar,frozen smoothie
1055,mineral water,salmon,yogurt cake
1056,grated cheese,herb & pepper,mineral water
1058,shrimp,spaghetti,mineral water
1059,shrimp,milk,whole wheat rice
1060,french fries,pancakes,yogurt cake
1064,burgers,ham,chocolate
1065,herb & pepper,whole wheat pasta,spaghetti
1066,fresh tuna,mineral water,french wine
1067,tomato sauce,spaghetti,mineral water
1069,frozen vegetables,tomatoes,mineral water
1070,turkey,ham,frozen vegetables
1071,pepper,spaghetti,eggs
1072,shrimp,spaghetti,black tea
1073,red wine,cake,french fries
1075,ground beef,spaghetti,milk
1076,oil,salt,low fat yogurt
1079,tomatoes,ground beef,spaghetti
1082,pepper,burger sauce,antioxydant juice
1083,turkey,whole wheat pasta,spaghetti
1084,ham,herb & pepper,frozen vegetables
1085,mineral water,eggplant,french fries
1087,red wine,extra dark chocolate,whole weat flour
1088,strawberries,fresh bread,white wine
1089,chocolate,frozen smoothie,escalope
1090,energy bar,cake,cottage cheese
1091,mineral water,milk,vegetables mix
1092,shrimp,tomatoes,parmesan cheese
1093,frozen vegetables,mineral water,french wine
1095,mineral water,energy bar,cake
1097,burgers,milk,hot dogs
1098,ground beef,mineral water,chocolate
1099,whole wheat pasta,spaghetti,meatballs
1101,burgers,tomatoes,ground beef
1102,energy bar,chocolate,champagne
1103,chocolate,ground beef,blueberries
1104,mineral water,milk,pancakes
1105,burgers,french wine,eggs
1107,ground beef,pepper,mineral water
1109,muffins,hot dogs,brownies
1110,ground beef,frozen smoothie,cottage cheese
1111,fresh tuna,frozen vegetables,parmesan cheese
1113,shrimp,vegetables mix,cookies
1116,mineral water,honey,cake
1117,soda,oil,barbecue sauce
1118,chocolate,spaghetti,mineral water
1119,chocolate,milk,clothes accessories
1120,fresh tuna,avocado,vegetables mix
1121,mineral water,meatballs,french fries
1122,shrimp,champagne,pasta
1124,turkey,yams,whole wheat rice
1125,chocolate,frozen vegetables,light mayo
1128,spaghetti,chicken,green tea
1133,vegetables mix,antioxydant juice,french fries
1134,chocolate,brownies,pancakes
1135,milk,cake,gums
1136,shrimp,mineral water,black tea
1138,ground beef,chocolate,salmon
1139,turkey,burgers,mineral water
1140,milk,chicken,mint green tea
1141,ground beef,spaghetti,honey
1142,milk,eggs,cake
1144,shrimp,tomatoes,parmesan cheese
1145,herb & pepper,ground beef,mineral water
1147,soup,oatmeal,green tea
1149,burgers,pancakes,green tea
1151,clothes accessories,french fries,frozen smoothie
1152,yams,mineral water,cake
1153,turkey,grated cheese,energy drink
1154,pickles,herb & pepper,frozen vegetables
1161,mineral water,chocolate,french fries
1164,spaghetti,champagne,cottage cheese
1167,grated cheese,herb & pepper,spaghetti
1170,ham,red wine,corn
1176,grated cheese,butter,eggs
1179,tomatoes,ground beef,mineral water
1180,ground beef,green tea,protein bar
1181,fresh tuna,mineral water,soup
1182,muffins,french fries,escalope
1183,burgers,mineral water,whole wheat rice
1185,oil,salad,magazines
1186,frozen vegetables,tomatoes,parmesan cheese
1189,ham,escalope,green tea
1190,dessert wine,frozen vegetables,tomatoes
1191,herb & pepper,ground beef,spaghetti
1192,grated cheese,whole wheat rice,chocolate
1194,whole wheat rice,yogurt cake,green tea
1195,tomato sauce,soup,blueberries
1197,cake,chicken,escalope
1198,energy bar,french fries,pancakes
1200,chicken,rice,oatmeal
1201,eggs,pasta,mushroom cream sauce
1204,burgers,mineral water,whole wheat rice
1205,french wine,eggs,french fries
1208,shrimp,frozen vegetables,whole wheat pasta
1210,milk,energy bar,eggs
1213,shrimp,spaghetti,mineral water
1216,shrimp,mineral water,meatballs
1218,spaghetti,mineral water,chili
1222,green tea,french fries,escalope
1223,fresh tuna,spaghetti,mineral water
1225,shrimp,frozen vegetables,mineral water
1226,avocado,frozen smoothie,low fat yogurt
1230,ham,spaghetti,eggs
1232,spaghetti,oil,cooking oil
1233,frozen vegetables,spaghetti,brownies
1235,frozen vegetables,ground beef,mineral water
1237,burgers,flax seed,eggs
1238,herb & pepper,spaghetti,cooking oil
1239,cookies,hot dogs,green tea
1241,eggs,french fries,brownies
1242,mineral water,energy bar,chocolate
1243,ground beef,whole wheat rice,mint
1246,red wine,shrimp,frozen vegetables
1248,chocolate,spaghetti,mineral water
1249,ham,mineral water,spinach
1251,chocolate,milk,eggs
1256,pepper,chocolate,blueberries
1257,mineral water,soup,muffins
1258,milk,salmon,whole weat flour
1261,shrimp,mineral water,pancakes
1262,pepper,milk,oil
1263,burgers,meatballs,eggs
1264,spaghetti,chocolate,cake
1265,turkey,whole wheat rice,chicken
1266,pancakes,eggs,champagne
1267,eggs,eggplant,french fries
1270,flax seed,green tea,fresh bread
1272,ham,pepper,spaghetti
1273,mineral water,salmon,frozen smoothie
1274,dessert wine,herb & pepper,tomatoes
1275,turkey,ground beef,eggs
1276,chocolate,mineral water,eggs
1277,turkey,fresh tuna,shrimp
1278,tomatoes,milk,almonds
1279,ground beef,spaghetti,mineral water
1281,grated cheese,red wine,spaghetti
1282,spaghetti,olive oil,flax seed
1283,cake,cottage cheese,green tea
1284,burgers,tomatoes,olive oil
1285,fromage blanc,mushroom cream sauce,low fat yogurt
1287,ham,mineral water,olive oil
1289,burgers,ground beef,spaghetti
1290,tomatoes,ground beef,mineral water
1292,shrimp,frozen vegetables,green tea
1293,spaghetti,milk,olive oil
1294,turkey,green grapes,champagne
1296,herb & pepper,spaghetti,milk
1297,red wine,spaghetti,olive oil
1298,milk,cooking oil,chicken
1302,frozen vegetables,chocolate,strawberries
1303,mineral water,milk,olive oil
1305,turkey,milk,energy bar
1306,burgers,cream,chicken
1309,tomato sauce,oil,clothes accessories
1313,soup,barbecue sauce,cookies
