,product1,product2,product3,product4,product5,product6,product7,product8,product9,product10,product11,product12,product13,product14,product15,product16,product17,product18,product19
22, vegetables, aluminum foil, bagels, vegetables, shampoo, shampoo, vegetables, dishwashing liquid/detergent, cereals, cheeses, flour, lunch meat, pasta, soda, vegetables, toilet paper, poultry, coffee/tea, flour
23, all- purpose, pasta, cheeses, juice, sandwich bags, vegetables, sandwich loaves, coffee/tea, juice, lunch meat, spaghetti sauce, paper towels, hand soap, soap, ice cream, individual meals, ketchup, butter, poultry
25, sandwich loaves, vegetables, coffee/tea, aluminum foil, vegetables, shampoo, cereals, dinner rolls, coffee/tea, poultry, butter, juice, paper towels, vegetables, beef, mixes, lunch meat, bagels, tortillas
26, pork, pasta, cheeses, fruits, sugar, lunch meat, laundry detergent, paper towels, butter, sandwich loaves, ice cream, waffles, all- purpose, sandwich bags, lunch meat, sandwich loaves, poultry, vegetables, shampoo
27, bagels, poultry, pasta, butter, all- purpose, pasta, shampoo, sugar, ketchup, eggs, soda, tortillas, soap, individual meals, ketchup, butter, mixes, juice, lunch meat
30, eggs, ice cream, pasta, juice, waffles, shampoo, dinner rolls, soda, vegetables, laundry detergent, hand soap, waffles, cereals, vegetables, toilet paper, individual meals, yogurt, spaghetti sauce, ice cream
31, paper towels, individual meals, dinner rolls, vegetables, lunch meat, sugar, soap, eggs, beef, yogurt, soda, sandwich loaves, aluminum foil, dinner rolls, soap, cheeses, sandwich loaves, ice cream, ketchup
32, pork, sandwich bags, ketchup, coffee/tea, vegetables, soda, poultry, pasta, all- purpose, coffee/tea, paper towels, individual meals, vegetables, poultry, flour, aluminum foil, soap, yogurt, mixes
35, vegetables, lunch meat, flour, juice, yogurt, shampoo, spaghetti sauce, ketchup, laundry detergent, dinner rolls, ketchup, vegetables, shampoo, sugar, flour, sandwich bags, paper towels, pork, vegetables
37, hand soap, dinner rolls, hand soap, lunch meat, laundry detergent, pasta, aluminum foil, toilet paper, cereals, coffee/tea, toilet paper, vegetables, juice, lunch meat, soda, pork, fruits, spaghetti sauce, laundry detergent
38, milk, dinner rolls, beef, coffee/tea, waffles, beef, eggs, sandwich bags, tortillas, vegetables, tortillas, all- purpose, vegetables, yogurt, cheeses, mixes, ketchup, waffles, aluminum foil
40, hand soap, fruits, poultry, coffee/tea, sugar, tortillas, soda, individual meals, tortillas, milk, toilet paper, soda, poultry, coffee/tea, spaghetti sauce, cheeses, flour, lunch meat, 
41, shampoo, waffles, bagels, mixes, shampoo, mixes, beef, dinner rolls, beef, shampoo, aluminum foil, individual meals, sugar, spaghetti sauce, juice, tortillas, shampoo, sandwich loaves, sandwich loaves
42, butter, ketchup, shampoo, juice, mixes, milk, shampoo, tortillas, laundry detergent, flour, cereals, soap, toilet paper, butter, coffee/tea, cheeses, soap, soap, butter
43, hand soap, waffles, laundry detergent, shampoo, lunch meat, cheeses, vegetables, hand soap, cereals, vegetables, dishwashing liquid/detergent, soda, spaghetti sauce, aluminum foil, laundry detergent, flour, poultry, juice, 
44, cereals, toilet paper, waffles, soda, pork, yogurt, pork, all- purpose, toilet paper, vegetables, spaghetti sauce, toilet paper, vegetables, laundry detergent, coffee/tea, all- purpose, coffee/tea, eggs, pork
45, spaghetti sauce, sandwich bags, ice cream, fruits, soap, cheeses, waffles, tortillas, sugar, toilet paper, ketchup, beef, beef, poultry, milk, dinner rolls, dinner rolls, eggs, soap
46, waffles, vegetables, beef, fruits, sandwich loaves, ketchup, cheeses, sugar, shampoo, butter, laundry detergent, poultry, waffles, soap, vegetables, butter, lunch meat, aluminum foil, waffles
50, sugar, pasta, sandwich loaves, mixes, butter, pasta, aluminum foil, tortillas, paper towels, yogurt, coffee/tea, sandwich bags, soda, poultry, aluminum foil, tortillas, eggs, flour, dishwashing liquid/detergent
52, flour, butter, vegetables, lunch meat, toilet paper, tortillas, laundry detergent, milk, poultry, laundry detergent, milk, soda, butter, spaghetti sauce, bagels, sugar, fruits, ice cream, laundry detergent
53, butter, waffles, aluminum foil, coffee/tea, vegetables, vegetables, mixes, paper towels, juice, tortillas, dinner rolls, eggs, shampoo, waffles, ketchup, shampoo, soda, mixes, sugar
54, tortillas, soda, beef, flour, eggs, vegetables, cheeses, lunch meat, coffee/tea, yogurt, dinner rolls, ice cream, pasta, fruits, fruits, paper towels, dishwashing liquid/detergent, soda, pasta
55, poultry, eggs, eggs, ketchup, beef, toilet paper, soda, pork, ice cream, hand soap, shampoo, yogurt, fruits, waffles, dinner rolls, flour, juice, eggs, sugar
56, spaghetti sauce, shampoo, ice cream, waffles, soda, dishwashing liquid/detergent, lunch meat, soap, juice, all- purpose, vegetables, ketchup, individual meals, fruits, spaghetti sauce, vegetables, individual meals, cereals, vegetables
57, all- purpose, dishwashing liquid/detergent, soap, vegetables, milk, shampoo, coffee/tea, spaghetti sauce, aluminum foil, ice cream, pasta, all- purpose, eggs, tortillas, poultry, sandwich bags, coffee/tea, sugar, ice cream
58, sandwich loaves, laundry detergent, ice cream, spaghetti sauce, milk, vegetables, all- purpose, cereals, hand soap, waffles, cereals, lunch meat, poultry, milk, dinner rolls, lunch meat, sandwich loaves, aluminum foil, sandwich bags
61, laundry detergent, laundry detergent, spaghetti sauce, beef, cheeses, shampoo, vegetables, waffles, cereals, sandwich bags, pasta, fruits, soap, vegetables, cheeses, vegetables, waffles, waffles, cereals
63, butter, flour, vegetables, bagels, sandwich bags, ice cream, sandwich loaves, flour, individual meals, ice cream, cheeses, milk, sandwich bags, poultry, vegetables, soda, cheeses, vegetables, all- purpose
65, hand soap, fruits, sandwich loaves, lunch meat, vegetables, individual meals, individual meals, sugar, fruits, cereals, ketchup, laundry detergent, cheeses, cheeses, poultry, hand soap, sandwich loaves, cheeses, mixes
66, cereals, yogurt, mixes, yogurt, sandwich loaves, hand soap, sugar, mixes, shampoo, all- purpose, pasta, cheeses, flour, poultry, poultry, dishwashing liquid/detergent, all- purpose, cheeses, coffee/tea
67, lunch meat, sandwich bags, yogurt, ice cream, ice cream, individual meals, sugar, dishwashing liquid/detergent, flour, vegetables, paper towels, fruits, cheeses, vegetables, juice, bagels, cereals, all- purpose, waffles
72, ketchup, milk, cereals, dishwashing liquid/detergent, butter, ice cream, laundry detergent, butter, aluminum foil, cereals, vegetables, spaghetti sauce, hand soap, mixes, ketchup, coffee/tea, bagels, toilet paper, juice
73, vegetables, vegetables, ketchup, yogurt, cheeses, juice, all- purpose, mixes, ketchup, mixes, shampoo, milk, fruits, vegetables, pork, coffee/tea, beef, bagels, sandwich loaves
75, laundry detergent, yogurt, toilet paper, tortillas, dinner rolls, tortillas, tortillas, soap, fruits, sandwich bags, vegetables, dishwashing liquid/detergent, milk, ketchup, soap, tortillas, spaghetti sauce, paper towels, coffee/tea
79, all- purpose, paper towels, ketchup, beef, soap, pork, waffles, lunch meat, cheeses, shampoo, spaghetti sauce, pork, poultry, all- purpose, poultry, vegetables, fruits, vegetables, dinner rolls
81, soda, bagels, milk, fruits, pasta, spaghetti sauce, soap, cheeses, spaghetti sauce, juice, fruits, beef, toilet paper, dishwashing liquid/detergent, flour, sandwich loaves, tortillas, mixes, waffles
84, aluminum foil, pork, fruits, sandwich bags, poultry, coffee/tea, bagels, hand soap, vegetables, mixes, ketchup, waffles, paper towels, tortillas, waffles, tortillas, beef, ketchup, toilet paper
86, individual meals, shampoo, beef, sandwich bags, eggs, vegetables, shampoo, sandwich loaves, ketchup, poultry, dishwashing liquid/detergent, beef, lunch meat, cereals, individual meals, spaghetti sauce, shampoo, sandwich loaves, tortillas
87, individual meals, sugar, spaghetti sauce, pasta, vegetables, cheeses, cheeses, fruits, fruits, lunch meat, vegetables, fruits, spaghetti sauce, individual meals, beef, coffee/tea, cereals, beef, dishwashing liquid/detergent
93, tortillas, waffles, vegetables, pork, beef, mixes, vegetables, poultry, soap, toilet paper, waffles, vegetables, ketchup, poultry, sandwich bags, individual meals, sugar, spaghetti sauce, butter
94, ketchup, laundry detergent, pork, cheeses, shampoo, juice, yogurt, juice, eggs, coffee/tea, sandwich bags, flour, vegetables, beef, poultry, hand soap, pork, mixes, tortillas
98, laundry detergent, juice, ketchup, cheeses, aluminum foil, waffles, pasta, vegetables, yogurt, eggs, aluminum foil, tortillas, toilet paper, paper towels, sandwich bags, aluminum foil, all- purpose, ice cream, dishwashing liquid/detergent
100, butter, cereals, cereals, vegetables, lunch meat, milk, milk, ice cream, butter, butter, poultry, paper towels, cheeses, lunch meat, waffles, beef, mixes, cereals, ice cream
103, dishwashing liquid/detergent, toilet paper, spaghetti sauce, mixes, all- purpose, cheeses, toilet paper, toilet paper, vegetables, coffee/tea, lunch meat, spaghetti sauce, flour, individual meals, yogurt, hand soap, aluminum foil, paper towels, sugar
104, cereals, ketchup, shampoo, dishwashing liquid/detergent, bagels, beef, eggs, pasta, dishwashing liquid/detergent, individual meals, waffles, soap, milk, pork, cereals, aluminum foil, soda, mixes, vegetables
105, cheeses, cereals, sugar, soap, hand soap, sugar, spaghetti sauce, milk, coffee/tea, aluminum foil, soda, cereals, ice cream, vegetables, lunch meat, sandwich bags, yogurt, pork, pork
106, ketchup, lunch meat, juice, waffles, sandwich loaves, vegetables, vegetables, cheeses, vegetables, pork, lunch meat, beef, tortillas, bagels, fruits, dishwashing liquid/detergent, shampoo, ice cream, ketchup
108, poultry, vegetables, pork, vegetables, vegetables, vegetables, individual meals, hand soap, vegetables, hand soap, pasta, all- purpose, toilet paper, mixes, spaghetti sauce, juice, spaghetti sauce, tortillas, 
109, laundry detergent, cereals, toilet paper, sandwich bags, poultry, vegetables, ketchup, mixes, dishwashing liquid/detergent, poultry, pork, flour, lunch meat, eggs, waffles, vegetables, vegetables, yogurt, vegetables
110, fruits, dishwashing liquid/detergent, mixes, vegetables, waffles, poultry, soda, pork, sugar, poultry, flour, dishwashing liquid/detergent, hand soap, bagels, coffee/tea, dinner rolls, beef, flour, 
111, pork, aluminum foil, fruits, aluminum foil, cereals, lunch meat, coffee/tea, yogurt, bagels, sugar, sugar, eggs, sugar, fruits, toilet paper, hand soap, vegetables, all- purpose, milk
112, sandwich loaves, vegetables, paper towels, vegetables, pasta, dishwashing liquid/detergent, ketchup, soda, soda, sandwich bags, dinner rolls, all- purpose, ketchup, waffles, spaghetti sauce, vegetables, shampoo, aluminum foil, 
113, waffles, beef, individual meals, beef, shampoo, ice cream, cheeses, poultry, vegetables, dinner rolls, pasta, lunch meat, fruits, bagels, dishwashing liquid/detergent, toilet paper, beef, ketchup, ketchup
117, bagels, cheeses, soda, poultry, cheeses, vegetables, flour, dinner rolls, hand soap, laundry detergent, flour, vegetables, milk, dinner rolls, fruits, all- purpose, dinner rolls, pork, fruits
118, cheeses, yogurt, coffee/tea, coffee/tea, beef, toilet paper, shampoo, sandwich loaves, ketchup, sandwich loaves, paper towels, vegetables, vegetables, pork, lunch meat, cheeses, cereals, ice cream, tortillas
120, beef, beef, sugar, toilet paper, aluminum foil, aluminum foil, hand soap, all- purpose, yogurt, eggs, flour, fruits, waffles, waffles, waffles, spaghetti sauce, yogurt, sandwich bags, all- purpose
121, juice, waffles, vegetables, waffles, lunch meat, spaghetti sauce, juice, all- purpose, flour, soap, waffles, juice, spaghetti sauce, vegetables, pork, lunch meat, juice, cheeses, mixes
122, vegetables, soap, soda, cheeses, toilet paper, shampoo, eggs, paper towels, mixes, individual meals, coffee/tea, all- purpose, sugar, waffles, flour, pork, bagels, pork, dishwashing liquid/detergent
124, cheeses, tortillas, spaghetti sauce, yogurt, beef, sandwich bags, laundry detergent, vegetables, soap, eggs, yogurt, juice, shampoo, vegetables, soap, mixes, eggs, dinner rolls, pork
126, butter, butter, poultry, beef, soap, fruits, vegetables, toilet paper, bagels, sugar, tortillas, poultry, toilet paper, fruits, pasta, beef, pasta, soda, dishwashing liquid/detergent
127, soap, sandwich bags, ice cream, individual meals, ice cream, mixes, aluminum foil, bagels, sandwich bags, cereals, butter, beef, dishwashing liquid/detergent, laundry detergent, sandwich bags, lunch meat, fruits, eggs, 
129, cereals, spaghetti sauce, lunch meat, fruits, spaghetti sauce, beef, shampoo, individual meals, paper towels, cheeses, aluminum foil, cheeses, coffee/tea, poultry, aluminum foil, toilet paper, butter, waffles, waffles
130, cheeses, aluminum foil, lunch meat, dinner rolls, sandwich bags, dinner rolls, flour, fruits, soda, aluminum foil, vegetables, eggs, mixes, sandwich bags, vegetables, butter, soap, ice cream, waffles
131, laundry detergent, laundry detergent, individual meals, poultry, juice, juice, lunch meat, sandwich bags, beef, dinner rolls, milk, toilet paper, pasta, ice cream, paper towels, mixes, beef, ice cream, spaghetti sauce
133, pasta, eggs, cheeses, vegetables, all- purpose, ice cream, hand soap, shampoo, ice cream, vegetables, bagels, sandwich loaves, waffles, coffee/tea, spaghetti sauce, beef, sandwich loaves, sandwich bags, spaghetti sauce
134, juice, sugar, bagels, spaghetti sauce, ketchup, shampoo, tortillas, sandwich loaves, vegetables, flour, mixes, dishwashing liquid/detergent, poultry, milk, shampoo, mixes, vegetables, dinner rolls, vegetables
135, eggs, ketchup, waffles, butter, sandwich loaves, sugar, sandwich bags, vegetables, shampoo, laundry detergent, sandwich bags, vegetables, cheeses, cereals, cereals, sugar, paper towels, laundry detergent, juice
137, tortillas, fruits, toilet paper, milk, butter, cereals, cereals, pasta, bagels, sandwich loaves, beef, cereals, aluminum foil, coffee/tea, aluminum foil, paper towels, ketchup, vegetables, vegetables
138, laundry detergent, vegetables, ice cream, milk, sugar, mixes, vegetables, tortillas, toilet paper, milk, sandwich bags, poultry, soda, sandwich loaves, dishwashing liquid/detergent, toilet paper, individual meals, sugar, soap
143, bagels, aluminum foil, flour, individual meals, dinner rolls, ketchup, tortillas, butter, aluminum foil, paper towels, toilet paper, laundry detergent, dinner rolls, vegetables, hand soap, coffee/tea, aluminum foil, toilet paper, ketchup
147, individual meals, dishwashing liquid/detergent, coffee/tea, dishwashing liquid/detergent, spaghetti sauce, cereals, milk, paper towels, lunch meat, vegetables, sugar, beef, toilet paper, spaghetti sauce, butter, paper towels, pork, beef, eggs
148, ketchup, milk, all- purpose, mixes, cheeses, individual meals, yogurt, yogurt, paper towels, vegetables, pork, shampoo, pork, sugar, soap, sugar, shampoo, coffee/tea, butter
149, ice cream, butter, ketchup, ketchup, vegetables, pasta, sugar, eggs, sandwich loaves, individual meals, spaghetti sauce, dinner rolls, aluminum foil, eggs, ketchup, poultry, mixes, juice, pasta
150, ketchup, cheeses, individual meals, spaghetti sauce, dishwashing liquid/detergent, soap, all- purpose, fruits, eggs, bagels, beef, waffles, sandwich loaves, vegetables, hand soap, soda, individual meals, soda, lunch meat
152, soda, spaghetti sauce, fruits, beef, lunch meat, sugar, yogurt, aluminum foil, vegetables, ketchup, dishwashing liquid/detergent, vegetables, eggs, dishwashing liquid/detergent, bagels, soda, vegetables, toilet paper, cereals
153, pasta, vegetables, sugar, pasta, sugar, bagels, milk, coffee/tea, flour, dinner rolls, aluminum foil, vegetables, ketchup, aluminum foil, individual meals, ice cream, ketchup, fruits, cheeses
155, juice, poultry, sandwich bags, individual meals, shampoo, yogurt, fruits, coffee/tea, vegetables, ice cream, poultry, pork, coffee/tea, vegetables, toilet paper, hand soap, cereals, soap, beef
156, all- purpose, coffee/tea, vegetables, eggs, beef, juice, bagels, vegetables, fruits, juice, vegetables, hand soap, flour, sugar, shampoo, juice, paper towels, aluminum foil, all- purpose
161, sandwich bags, coffee/tea, cereals, dishwashing liquid/detergent, soap, dishwashing liquid/detergent, paper towels, ketchup, beef, spaghetti sauce, fruits, sandwich bags, sandwich bags, cheeses, paper towels, ketchup, vegetables, dinner rolls, vegetables
163, all- purpose, ketchup, eggs, dishwashing liquid/detergent, sugar, eggs, waffles, juice, dishwashing liquid/detergent, flour, eggs, all- purpose, flour, sandwich bags, flour, juice, juice, dishwashing liquid/detergent, juice
170, pasta, poultry, cereals, soap, laundry detergent, pasta, vegetables, dishwashing liquid/detergent, paper towels, paper towels, toilet paper, lunch meat, fruits, pork, poultry, beef, all- purpose, sandwich bags, butter
172, vegetables, dishwashing liquid/detergent, eggs, eggs, vegetables, soda, juice, sugar, ice cream, soap, pasta, dishwashing liquid/detergent, individual meals, coffee/tea, all- purpose, flour, cheeses, soap, poultry
173, beef, beef, mixes, vegetables, bagels, shampoo, milk, shampoo, flour, lunch meat, pork, yogurt, poultry, beef, juice, eggs, sandwich bags, eggs, aluminum foil
174, mixes, pork, ice cream, juice, dishwashing liquid/detergent, coffee/tea, vegetables, butter, toilet paper, mixes, juice, paper towels, sandwich loaves, dishwashing liquid/detergent, sandwich bags, dishwashing liquid/detergent, flour, laundry detergent, 
175, cheeses, ketchup, flour, mixes, tortillas, shampoo, sandwich loaves, fruits, spaghetti sauce, lunch meat, lunch meat, mixes, dishwashing liquid/detergent, yogurt, sugar, paper towels, paper towels, shampoo, yogurt
178, ketchup, vegetables, toilet paper, tortillas, juice, ketchup, spaghetti sauce, all- purpose, lunch meat, mixes, spaghetti sauce, ice cream, cheeses, paper towels, poultry, lunch meat, coffee/tea, sandwich bags, soda
179, vegetables, paper towels, shampoo, fruits, yogurt, dinner rolls, lunch meat, all- purpose, dishwashing liquid/detergent, vegetables, toilet paper, mixes, soda, laundry detergent, poultry, sandwich loaves, lunch meat, cheeses, butter
181, aluminum foil, sandwich bags, mixes, dinner rolls, milk, tortillas, milk, fruits, pasta, pasta, lunch meat, yogurt, cheeses, vegetables, dinner rolls, waffles, hand soap, cheeses, aluminum foil
183, individual meals, eggs, ice cream, bagels, vegetables, poultry, dinner rolls, vegetables, butter, mixes, tortillas, spaghetti sauce, cereals, tortillas, pork, juice, dinner rolls, eggs, spaghetti sauce
184, waffles, flour, lunch meat, milk, tortillas, sandwich loaves, yogurt, flour, beef, shampoo, cereals, vegetables, waffles, aluminum foil, hand soap, sugar, poultry, fruits, mixes
187, cheeses, sandwich bags, cereals, laundry detergent, aluminum foil, yogurt, all- purpose, bagels, shampoo, soap, pasta, yogurt, lunch meat, vegetables, cereals, fruits, milk, sandwich bags, yogurt
188, beef, dinner rolls, ketchup, pasta, milk, soap, hand soap, coffee/tea, hand soap, vegetables, ice cream, eggs, bagels, flour, coffee/tea, individual meals, fruits, cheeses, soap
190, waffles, milk, laundry detergent, vegetables, dinner rolls, vegetables, milk, spaghetti sauce, toilet paper, pork, sugar, lunch meat, toilet paper, sandwich loaves, ketchup, juice, eggs, coffee/tea, waffles
196, ice cream, bagels, pork, all- purpose, ice cream, ice cream, vegetables, pasta, poultry, dishwashing liquid/detergent, ice cream, hand soap, soap, butter, ketchup, sandwich bags, butter, fruits, 
201, dinner rolls, milk, tortillas, ice cream, vegetables, dinner rolls, poultry, vegetables, all- purpose, dishwashing liquid/detergent, vegetables, cereals, butter, hand soap, paper towels, milk, juice, tortillas, soap
202, spaghetti sauce, sandwich loaves, flour, soap, vegetables, eggs, vegetables, poultry, cereals, cheeses, fruits, vegetables, paper towels, flour, ketchup, pasta, pasta, spaghetti sauce, sandwich bags
203, milk, vegetables, dinner rolls, butter, all- purpose, sandwich loaves, waffles, yogurt, vegetables, coffee/tea, flour, bagels, vegetables, lunch meat, poultry, toilet paper, fruits, poultry, cereals
206, coffee/tea, eggs, toilet paper, dinner rolls, pasta, paper towels, tortillas, spaghetti sauce, waffles, all- purpose, bagels, aluminum foil, bagels, soda, sugar, ketchup, cereals, shampoo, 
208, shampoo, eggs, beef, ice cream, paper towels, shampoo, individual meals, shampoo, pasta, milk, coffee/tea, pasta, waffles, pasta, butter, lunch meat, vegetables, ketchup, lunch meat
209, poultry, waffles, aluminum foil, coffee/tea, toilet paper, hand soap, mixes, dishwashing liquid/detergent, waffles, aluminum foil, pork, spaghetti sauce, beef, dinner rolls, vegetables, coffee/tea, vegetables, paper towels, pasta
210, hand soap, eggs, soda, aluminum foil, poultry, tortillas, bagels, vegetables, sandwich bags, cheeses, sandwich bags, cereals, mixes, dinner rolls, flour, pasta, vegetables, bagels, soda
211, spaghetti sauce, tortillas, spaghetti sauce, vegetables, soda, spaghetti sauce, pasta, sandwich bags, spaghetti sauce, yogurt, bagels, toilet paper, shampoo, vegetables, shampoo, ice cream, dinner rolls, paper towels, dinner rolls
214, spaghetti sauce, paper towels, individual meals, poultry, soap, ice cream, paper towels, ice cream, coffee/tea, soap, milk, soap, eggs, cereals, soap, shampoo, dinner rolls, soap, butter
215, waffles, shampoo, mixes, vegetables, shampoo, flour, waffles, soda, sandwich loaves, vegetables, sandwich loaves, soap, laundry detergent, vegetables, milk, juice, vegetables, ice cream, spaghetti sauce
216, sugar, coffee/tea, all- purpose, juice, mixes, soda, yogurt, vegetables, all- purpose, cereals, soap, soda, hand soap, vegetables, milk, toilet paper, juice, vegetables, eggs
218, bagels, spaghetti sauce, beef, sandwich loaves, fruits, laundry detergent, ice cream, cereals, lunch meat, poultry, bagels, all- purpose, paper towels, pasta, bagels, flour, eggs, bagels, mixes
219, juice, dishwashing liquid/detergent, milk, individual meals, spaghetti sauce, toilet paper, flour, yogurt, waffles, tortillas, fruits, paper towels, cereals, pasta, spaghetti sauce, lunch meat, milk, soap, ice cream
220, pasta, eggs, shampoo, sugar, paper towels, ketchup, poultry, sugar, soda, butter, paper towels, pasta, waffles, lunch meat, paper towels, ketchup, vegetables, yogurt, soap
224, milk, bagels, pork, yogurt, ice cream, eggs, individual meals, soda, vegetables, pasta, pork, waffles, waffles, pork, spaghetti sauce, dishwashing liquid/detergent, juice, bagels, 
225, fruits, spaghetti sauce, pasta, mixes, pasta, fruits, dishwashing liquid/detergent, juice, aluminum foil, flour, individual meals, yogurt, ketchup, fruits, toilet paper, eggs, flour, hand soap, milk
229, individual meals, poultry, individual meals, soda, dishwashing liquid/detergent, eggs, pork, coffee/tea, hand soap, beef, ice cream, dinner rolls, lunch meat, individual meals, ice cream, vegetables, vegetables, poultry, 
230, pasta, cereals, individual meals, vegetables, toilet paper, coffee/tea, toilet paper, mixes, fruits, vegetables, shampoo, soap, toilet paper, soap, dinner rolls, dinner rolls, pasta, vegetables, soda
233, beef, sandwich bags, shampoo, fruits, cheeses, flour, laundry detergent, waffles, vegetables, soap, waffles, eggs, individual meals, eggs, aluminum foil, milk, beef, yogurt, juice
234, spaghetti sauce, flour, milk, beef, laundry detergent, tortillas, cereals, coffee/tea, sandwich loaves, beef, toilet paper, milk, yogurt, soda, soda, vegetables, beef, cereals, sandwich bags
236, sugar, yogurt, butter, milk, poultry, hand soap, mixes, bagels, tortillas, vegetables, spaghetti sauce, flour, eggs, poultry, mixes, vegetables, poultry, hand soap, coffee/tea
237, lunch meat, pasta, laundry detergent, sandwich loaves, vegetables, poultry, yogurt, laundry detergent, sandwich bags, aluminum foil, vegetables, tortillas, milk, soap, sandwich loaves, juice, hand soap, coffee/tea, vegetables
243, yogurt, cereals, sandwich bags, laundry detergent, fruits, flour, soda, sandwich loaves, fruits, aluminum foil, individual meals, coffee/tea, spaghetti sauce, mixes, tortillas, spaghetti sauce, all- purpose, sugar, ice cream
244, dinner rolls, dishwashing liquid/detergent, paper towels, eggs, pasta, ice cream, ketchup, sugar, flour, pasta, all- purpose, yogurt, pork, cereals, cereals, aluminum foil, beef, aluminum foil, dinner rolls
245, bagels, juice, cereals, mixes, fruits, individual meals, aluminum foil, sandwich loaves, laundry detergent, paper towels, all- purpose, ice cream, cereals, soap, aluminum foil, paper towels, cheeses, sandwich bags, toilet paper
249, sandwich loaves, bagels, pasta, toilet paper, ketchup, shampoo, beef, poultry, milk, beef, laundry detergent, juice, sugar, all- purpose, cheeses, fruits, hand soap, laundry detergent, yogurt
251, spaghetti sauce, sandwich bags, ice cream, yogurt, bagels, tortillas, all- purpose, sandwich bags, ice cream, eggs, individual meals, butter, mixes, all- purpose, ketchup, spaghetti sauce, tortillas, milk, laundry detergent
252, hand soap, ice cream, vegetables, bagels, milk, aluminum foil, dinner rolls, toilet paper, yogurt, ketchup, bagels, pasta, soap, beef, yogurt, yogurt, hand soap, fruits, dinner rolls
256, bagels, tortillas, dinner rolls, flour, vegetables, ketchup, juice, toilet paper, milk, all- purpose, spaghetti sauce, shampoo, spaghetti sauce, hand soap, lunch meat, mixes, aluminum foil, ketchup, sandwich loaves
258, paper towels, pork, cereals, fruits, aluminum foil, bagels, butter, dishwashing liquid/detergent, aluminum foil, eggs, lunch meat, flour, laundry detergent, vegetables, coffee/tea, vegetables, vegetables, ketchup, hand soap
260, ketchup, flour, pasta, soda, pork, hand soap, eggs, sandwich bags, soap, juice, cheeses, cereals, dishwashing liquid/detergent, lunch meat, dinner rolls, flour, cereals, paper towels, vegetables
261, cereals, dinner rolls, juice, aluminum foil, fruits, spaghetti sauce, milk, ice cream, hand soap, cheeses, ketchup, milk, lunch meat, cereals, coffee/tea, juice, juice, fruits, cereals
267, beef, pasta, coffee/tea, vegetables, toilet paper, beef, individual meals, cheeses, eggs, eggs, spaghetti sauce, tortillas, waffles, vegetables, poultry, fruits, soda, lunch meat, beef
268, sandwich bags, butter, cheeses, paper towels, bagels, cereals, sandwich bags, bagels, poultry, mixes, spaghetti sauce, sandwich loaves, aluminum foil, shampoo, butter, soda, mixes, hand soap, ketchup
269, spaghetti sauce, vegetables, soda, mixes, fruits, aluminum foil, pork, vegetables, shampoo, juice, beef, waffles, paper towels, tortillas, tortillas, mixes, waffles, waffles, soda
